  61,20;    1,7778;   20,38;    0,00409;   -0,00003;
  54,21;    1,7778;   20,18;    0,00041;   -0,00003;
  40,99;    1,7778;   16,97;   -0,00099;    0,00002;
  34,14;    1,7778;   14,35;   -0,00128;   -0,00003;
  25,37;    1,7778;   12,90;   -0,00077;   -0,00001;
  19,92;    1,7778;   13,17;   -0,00292;    0,00006;
  15,48;    1,7778;    8,01;    0,00014;   -0,00004;
  10,73;    1,7778;    4,65;   -0,00192;    0,00004;
   9,38;    1,7778;    0,00;    0,00000;    0,00000;
   5,02;    1,7778;    0,00;    0,00000;    0,00000;
   5,53;    1,7778;    0,00;    0,00000;    0,00000;
   2,46;    1,7778;    0,00;    0,00000;    0,00000;
   3,18;    1,7778;    0,00;    0,00000;    0,00000;
   2,87;    1,7778;    0,00;    0,00000;    0,00000;
    0,0378;    0,0216;      9,59;     5,380;
